Riven,Cyan Inc,2.99,5.99,3.00,[windows,880840800,False
Vampire®,Activision,19.99,19.99,0.00,[windows],1100556000,False
Darkwood,Acid Wizard Studio,14.99,14.99,0.00,[windows,1502917200,False
Mars,Focus Home Interactive,2.49,9.99,7.50,[windows],1366923600,False
Caesar™ IV,Activision,9.99,9.99,0.00,[windows],1157749200,False
Chernobylite,The Farm 51,29.99,29.99,0.00,[windows],1571173200,False
Bound By Flame,Focus Home Interactive,2.37,6.99,4.62,[windows],1399496400,False
Serious Sam 4,Devolver Digital,39.99,39.99,0.00,[windows],1600894800,False
Emperor,Activision,5.99,5.99,0.00,[windows],1031518800,False
Vampire,Paradox Interactive,89.99,89.99,0.00,[windows],1640901600,False
Battlefleet Gothic,Focus Home Interactive,10.19,29.99,19.80,[windows],1548280800,False
Heroes of Might and Magic® 4,Ubisoft,9.99,9.99,0.00,[windows],1094677200,False
Vaporum,Fatbot Games,7.99,19.99,12.00,[windows,1506546000,False
Dawn of Man,Madruga Works,24.99,24.99,0.00,[windows,1551391200,False
Empire Earth 2 Gold Edition,Rebellion,9.99,9.99,0.00,[windows],1114462800,False
Stardew Valley,ConcernedApe,14.99,14.99,0.00,[windows,1456437600,False
The Witcher 2,CD PROJEKT RED,19.99,19.99,0.00,[windows,1334610000,False
"""Baldurs Gate II",Beamdog,19.99,19.99,0.00,[windows,1384466400,False
RollerCoaster Tycoon,Atari,5.99,5.99,0.00,[windows],922827600,False
"""No Mans Sky""",Hello Games,59.99,59.99,0.00,[windows],1470949200,False
The Surge 1 & 2 - Dual Pack,Focus Home Interactive,19.99,49.99,30.00,[windows],1588626000,False
Heroes of Might and Magic® 5,Ubisoft,19.99,19.99,0.00,[windows],1147986000,False
The Elder Scrolls IV,Bethesda Softworks LLC,19.99,19.99,0.00,[windows],1189458000,False
Blade Runner,Alcon Interactive Group,9.99,9.99,0.00,[windows,878508000,False
Thronebreaker,CD PROJEKT RED,19.99,19.99,0.00,[windows],1540242000,False
Heroes of Might and Magic® 2,Ubisoft,9.99,9.99,0.00,[windows],844120800,False
Redout,34BigThings,29.99,29.99,0.00,[windows],1472763600,False
Caesar 3,Activision,5.99,5.99,0.00,[windows],928011600,False
The 13th Doll,Attic Door Productions,9.99,19.99,10.00,[windows,1572472800,False
Star Renegades,Raw Fury,24.99,24.99,0.00,[windows],1599512400,False
World of Goo,2D BOY,2.99,14.99,12.00,[windows,1223845200,False
Wasteland 3 - Deluxe Edition,inXile Entertainment,69.99,69.99,0.00,[windows],1598562000,False
